Age (ka),CCFI
6,1.71
8,3.15
10,2.90
12,1.94
14,1.80
16,1.31
18,1.07
20,1.48
22,2.08
24,1.78
26,1.51
28,1.74
30,1.90
32,2.07
34,2.18
36,2.05
38,1.90
40,1.41
42,1.06
44,0.92
46,0.91
48,0.89
50,1.16
52,1.35
54,0.74
56,-0.02
58,-0.07
60,-0.07
62,-0.18
64,-0.28
66,-0.22
68,-0.14
70,-0.05
72,0.04
74,0.30
76,0.54
78,0.72
80,0.93
82,1.15
84,1.36
86,1.42
88,1.30
90,1.13
92,0.96
94,0.93
96,0.96
98,0.98
100,0.84
102,0.67
104,0.51
106,0.37
108,0.23
110,0.08
112,-0.13
114,-0.35
116,-0.48
118,0.27
120,1.03
122,1.78
124,1.29
126,0.84
128,1.00
130,1.04
132,1.12
134,1.83
136,2.16
138,2.22
140,2.28
142,2.01
144,1.97
146,1.63
148,1.04
150,1.12
152,1.42
154,1.75
156,2.09
158,1.68
160,1.03
162,1.14
164,1.36
166,1.74
168,2.13
170,1.88
172,1.50
174,1.05
176,0.60
178,0.49
180,0.48
182,0.33
184,0.17
186,0.09
188,0.03
190,0.31
192,0.46
194,0.43
196,0.61
198,0.79
200,0.80
202,0.63
204,0.45
206,0.34
208,0.57
210,0.81
212,1.02
214,0.93
216,0.82
218,0.71
220,0.60
222,0.48
224,0.36
226,0.24
228,0.04
230,-0.27
232,-0.72
234,-0.65
236,-0.38
238,0.56
240,1.62
242,1.19
244,1.41
246,1.41
248,1.31
250,1.29
252,1.28
254,1.15
256,1.01
258,0.68
260,0.32
262,0.34
264,0.25
266,0.01
268,-0.24
270,-0.48
272,-0.64
274,-0.81
276,-0.97
278,-1.10
280,-1.10
282,-1.07
284,-0.72
286,-0.32
288,-0.81
290,-1.01
292,-1.14
294,-1.11
296,-0.90
298,-0.74
300,-0.83
302,-0.77
304,-0.52
306,-0.53
308,-0.67
310,-0.91
312,-1.12
314,-1.18
316,-1.09
318,-1.06
320,-1.03
322,-0.90
324,-0.67
326,-0.34
328,-0.02
330,0.17
332,0.10
334,0.02
336,-0.09
338,-0.02
340,0.04
342,0.06
344,0.06
346,0.01
348,-0.07
350,-0.16
352,-0.32
354,-0.43
356,-0.52
358,-0.62
360,-0.72
362,-0.80
364,-0.85
366,-0.89
368,-0.94
370,-0.97
372,-0.99
374,-1.01
376,-1.00
378,-0.99
380,-1.06
382,-1.12
384,-1.13
386,-1.13
388,-1.18
390,-1.26
392,-1.33
394,-1.41
396,-1.48
398,-1.55
400,-1.58
402,-1.51
404,-1.44
406,-1.40
408,-1.37
410,-1.47
412,-1.44
414,-0.91
416,-0.64
418,-0.50
420,-0.37
422,-0.25
424,-0.20
426,-0.21
428,-0.20
430,-0.21
432,-0.12
434,0.13
436,0.32
438,0.23
440,0.14
442,-0.29
444,-0.72
446,-0.10
448,-0.20
450,-0.86
452,-0.79
454,-0.24
456,-0.22
458,-0.57
460,-0.84
462,-1.07
464,-1.14
466,-1.21
468,-1.33
470,-1.46
472,-1.49
474,-1.37
476,-1.24
478,-1.25
480,-1.26
482,-1.26
484,-1.29
486,-1.32
488,-1.36
490,-1.40
492,-1.44
494,-1.36
496,-1.26
498,-1.15
500,-1.05
502,-0.94
504,-0.84
506,-0.73
508,-0.63
510,-0.52
512,-0.52
514,-0.42
516,-0.32
518,-0.22
520,-0.17
522,-0.11
524,0.01
526,0.04
528,0.07
530,0.09
532,0.31
534,0.58
536,0.85
538,0.80
540,0.53
542,0.26
544,-0.01
546,-0.28
548,-0.49
550,-0.66
552,-0.72
554,-0.79
556,-0.85
558,-0.78
560,-0.66
562,-0.54
564,-0.41
566,-0.35
